epoch,train_data,wave,gauge,ic,bdry,val_data,best_val,phys_w,bad,epoch_sec,unix_ts
67,5.780592e-03,2.779061e+02,5.781900e-02,5.742406e-06,3.333776e-01,5.438988e-03,5.438988e-03,0.0001,0,427.7,1781826672
68,5.793299e-03,2.932008e+02,5.609856e-02,6.198535e-06,3.269948e-01,5.544002e-03,5.438988e-03,0.0001,1,425.5,1781827098
69,5.759228e-03,2.937791e+02,4.987795e-02,5.504802e-06,3.297189e-01,5.692530e-03,5.438988e-03,0.0001,2,425.7,1781827524
70,5.762387e-03,2.755703e+02,4.786575e-02,5.872833e-06,3.296928e-01,6.123725e-03,5.438988e-03,0.0001,3,426.5,1781827950
71,5.780236e-03,2.807858e+02,4.689473e-02,5.651172e-06,3.271486e-01,5.829809e-03,5.438988e-03,0.0001,4,424.7,1781828375
72,5.666140e-03,2.663460e+02,4.504042e-02,5.474668e-06,3.253582e-01,5.915712e-03,5.438988e-03,0.0001,5,426.3,1781828801
71,5.813510e-03,2.820366e+02,4.812817e-02,6.245000e-06,3.270554e-01,5.939090e-03,5.438988e-03,0.0001,4,304.1,1781829862
72,5.744026e-03,2.868507e+02,5.111811e-02,5.379584e-06,3.277907e-01,5.893321e-03,5.438988e-03,0.0001,5,299.1,1781830161
73,5.730583e-03,2.882456e+02,4.738206e-02,5.363292e-06,3.268582e-01,5.636976e-03,5.438988e-03,0.0001,6,299.2,1781830460
74,5.711664e-03,2.767400e+02,4.618576e-02,5.265358e-06,3.220315e-01,5.534929e-03,5.438988e-03,0.0001,7,299.2,1781830759
75,5.670368e-03,2.861880e+02,4.782696e-02,4.999144e-06,3.321565e-01,5.427778e-03,5.427778e-03,0.0001,0,299.1,1781831058
76,5.694999e-03,2.904921e+02,5.024674e-02,5.059482e-06,3.311718e-01,5.377462e-03,5.377462e-03,0.0001,0,299.2,1781831357
77,5.580663e-03,2.903625e+02,5.384323e-02,5.077296e-06,3.299374e-01,5.522690e-03,5.377462e-03,0.0001,1,299.2,1781831657
78,5.553014e-03,2.923032e+02,6.088543e-02,5.092819e-06,3.281941e-01,5.383221e-03,5.377462e-03,0.0001,2,299.2,1781831956
79,5.500640e-03,2.836474e+02,5.306974e-02,4.531159e-06,3.282767e-01,5.345837e-03,5.345837e-03,0.0001,0,299.1,1781832255
80,5.483048e-03,2.876986e+02,5.032173e-02,5.510242e-06,3.303896e-01,5.363079e-03,5.345837e-03,0.0001,1,299.0,1781832554
81,5.448019e-03,2.988232e+02,5.096619e-02,5.389620e-06,3.247508e-01,5.131255e-03,5.131255e-03,0.0001,0,299.0,1781832853
82,5.365997e-03,2.912826e+02,5.502329e-02,5.313598e-06,3.315773e-01,5.182259e-03,5.131255e-03,0.0001,1,299.1,1781833152
83,5.312200e-03,2.984236e+02,4.962693e-02,5.191206e-06,3.279126e-01,4.991422e-03,4.991422e-03,0.0001,0,299.0,1781833451
84,5.192687e-03,2.898810e+02,4.685109e-02,5.362345e-06,3.265830e-01,5.120183e-03,4.991422e-03,0.0001,1,299.2,1781833750
85,5.145297e-03,2.969801e+02,4.525730e-02,5.538099e-06,3.307342e-01,5.236889e-03,4.991422e-03,0.0001,2,299.2,1781834049
86,5.158592e-03,2.993981e+02,4.722780e-02,5.072541e-06,3.297705e-01,5.176552e-03,4.991422e-03,0.0001,3,299.2,1781834349
87,5.140569e-03,2.929795e+02,4.784980e-02,5.626925e-06,3.297572e-01,5.236439e-03,4.991422e-03,0.0001,4,299.1,1781834648
88,5.123008e-03,3.057326e+02,4.999329e-02,4.862386e-06,3.272171e-01,5.123420e-03,4.991422e-03,0.0001,5,299.1,1781834947
89,4.977820e-03,3.005655e+02,5.170307e-02,4.402585e-06,3.257176e-01,4.974787e-03,4.974787e-03,0.0001,0,299.1,1781835246
90,4.968488e-03,3.029087e+02,5.357434e-02,5.110494e-06,3.244461e-01,4.965045e-03,4.965045e-03,0.0000,0,299.2,1781835545
91,4.941559e-03,2.922792e+02,4.799783e-02,5.186307e-06,3.287024e-01,5.169001e-03,4.965045e-03,0.0000,1,299.2,1781835844
92,4.953351e-03,2.866172e+02,5.898378e-02,4.220606e-06,3.320891e-01,4.918087e-03,4.918087e-03,0.0001,0,299.3,1781836144
93,4.961131e-03,2.883902e+02,5.633407e-02,4.465676e-06,3.241588e-01,4.892140e-03,4.892140e-03,0.0001,0,299.2,1781836443
94,4.984286e-03,2.850353e+02,5.216756e-02,4.248287e-06,3.341112e-01,4.969434e-03,4.892140e-03,0.0001,1,299.3,1781836742
95,4.960813e-03,3.070627e+02,5.140693e-02,4.030007e-06,3.271331e-01,4.626629e-03,4.626629e-03,0.0001,0,299.3,1781837041
96,4.977684e-03,3.017187e+02,5.330587e-02,3.984985e-06,3.288726e-01,4.961867e-03,4.626629e-03,0.0001,1,299.2,1781837341
97,4.903351e-03,3.017248e+02,5.518502e-02,4.044582e-06,3.285575e-01,4.851834e-03,4.626629e-03,0.0001,2,299.2,1781837640
98,4.860531e-03,2.916438e+02,5.609330e-02,4.373421e-06,3.316249e-01,4.809239e-03,4.626629e-03,0.0000,3,299.3,1781837939
99,4.810667e-03,2.871549e+02,5.004725e-02,4.986546e-06,3.302467e-01,5.071925e-03,4.626629e-03,0.0000,4,299.4,1781838238
100,4.915188e-03,3.050007e+02,6.220548e-02,4.438053e-06,3.279517e-01,4.792838e-03,4.626629e-03,0.0001,5,299.3,1781838538
101,4.847695e-03,2.848488e+02,5.032726e-02,4.183229e-06,3.332747e-01,5.050105e-03,4.626629e-03,0.0000,6,299.3,1781838837
102,4.866678e-03,2.950453e+02,5.247643e-02,4.351775e-06,3.266115e-01,4.903154e-03,4.626629e-03,0.0001,7,299.3,1781839136
103,4.919720e-03,2.911477e+02,4.958449e-02,3.932187e-06,3.268731e-01,4.916656e-03,4.626629e-03,0.0001,8,299.2,1781839436
104,4.969631e-03,2.835437e+02,4.929266e-02,4.184285e-06,3.276719e-01,4.757469e-03,4.626629e-03,0.0001,9,298.8,1781839735
105,4.929667e-03,2.953158e+02,5.467149e-02,3.938480e-06,3.269061e-01,4.616400e-03,4.616400e-03,0.0001,0,299.2,1781840034
106,4.873401e-03,2.890826e+02,5.496692e-02,4.662075e-06,3.273572e-01,4.737148e-03,4.616400e-03,0.0001,1,299.2,1781840333
107,4.808392e-03,2.925621e+02,5.618453e-02,4.325509e-06,3.323630e-01,4.993230e-03,4.616400e-03,0.0000,2,299.2,1781840632
108,4.813768e-03,2.851985e+02,4.723162e-02,4.316711e-06,3.299936e-01,4.976200e-03,4.616400e-03,0.0001,3,299.2,1781840931
109,4.907649e-03,2.916136e+02,5.305819e-02,4.086251e-06,3.310418e-01,4.791666e-03,4.616400e-03,0.0001,4,299.2,1781841231
110,5.048581e-03,2.948474e+02,5.839701e-02,4.063302e-06,3.253190e-01,4.860125e-03,4.616400e-03,0.0001,5,299.2,1781841530
111,5.084221e-03,2.934021e+02,5.579036e-02,3.886649e-06,3.258596e-01,4.679386e-03,4.616400e-03,0.0001,6,299.2,1781841829
112,4.983744e-03,2.942151e+02,5.412990e-02,3.780358e-06,3.321641e-01,5.203023e-03,4.616400e-03,0.0001,7,299.3,1781842128
113,5.015393e-03,2.908095e+02,5.711195e-02,4.845644e-06,3.299343e-01,5.306924e-03,4.616400e-03,0.0001,8,350.2,1781842479
114,4.983633e-03,2.984040e+02,6.055287e-02,4.029193e-06,3.319499e-01,4.781919e-03,4.616400e-03,0.0001,9,299.3,1781842778
115,4.904736e-03,2.925104e+02,6.602092e-02,4.142078e-06,3.344732e-01,4.870525e-03,4.616400e-03,0.0001,10,299.3,1781843077
116,4.933462e-03,2.833042e+02,5.902232e-02,4.257339e-06,3.264478e-01,4.796620e-03,4.616400e-03,0.0001,11,299.3,1781843376
117,4.910305e-03,2.894660e+02,5.508951e-02,4.003051e-06,3.316988e-01,5.029947e-03,4.616400e-03,0.0001,12,299.4,1781843676
118,4.883142e-03,2.666529e+02,5.783732e-02,3.678972e-06,3.305534e-01,5.071392e-03,4.616400e-03,0.0001,13,299.3,1781843975
119,4.834057e-03,2.702779e+02,5.852083e-02,3.896759e-06,3.285120e-01,4.749810e-03,4.616400e-03,0.0001,14,299.3,1781844274
120,4.871550e-03,2.720795e+02,6.657056e-02,3.999014e-06,3.292463e-01,4.547108e-03,4.547108e-03,0.0001,0,299.3,1781844574
121,4.777037e-03,2.769869e+02,4.930686e-02,4.135152e-06,3.301875e-01,4.691842e-03,4.547108e-03,0.0001,1,299.2,1781844873
122,4.759939e-03,2.810665e+02,5.528172e-02,3.920658e-06,3.304044e-01,4.668318e-03,4.547108e-03,0.0001,2,299.2,1781845172
